seqnames	start	end	width	strand	exon_id	tx_id	exon_rank	tx_start	tx_end	tx_length
6	29943268	29943543	276	+	ENSE00003895764	ENST00000714446	3	1	1431	1431
6	29944122	29944397	276	+	ENSE00003617747	ENST00000714446	4	1	1431	1431
6	29944500	29944616	117	+	ENSE00003518731	ENST00000714446	5	1	1431	1431
6	29945059	29945091	33	+	ENSE00003618247	ENST00000714446	6	1	1431	1431
6	29945234	29945281	48	+	ENSE00003515521	ENST00000714446	7	1	1431	1431
6	29945451	29945874	424	+	ENSE00004024013	ENST00000714446	8	1	1431	1431
6	29942548	29942626	79	+	ENSE00001839803	ENST00000496081	1	1	1786	1786
6	29942757	29942854	98	+	ENSE00001868573	ENST00000496081	2	1	1786	1786
6	29943285	29943543	259	+	ENSE00001869474	ENST00000496081	3	1	1786	1786
6	29944122	29944397	276	+	ENSE00003531461	ENST00000496081	4	1	1786	1786
6	29944500	29945091	592	+	ENSE00003997345	ENST00000496081	5	1	1786	1786
6	29945234	29945281	48	+	ENSE00003997358	ENST00000496081	6	1	1786	1786
6	29945451	29945884	434	+	ENSE00003675687	ENST00000496081	7	1	1786	1786
6	29942549	29942626	78	+	ENSE00001698357	ENST00000376802	1	1	1334	1334
6	29942757	29943026	270	+	ENSE00003893776	ENST00000376802	2	1	1334	1334
6	29943268	29943543	276	+	ENSE00003895764	ENST00000376802	3	1	1334	1334
6	29944122	29944397	276	+	ENSE00003617747	ENST00000376802	4	1	1334	1334
6	29945451	29945884	434	+	ENSE00003648072	ENST00000376802	5	1	1334	1334
6	29942552	29942626	75	+	ENSE00001912174	ENST00000495183	1	1	1766	1766
6	29942757	29943543	787	+	ENSE00001910070	ENST00000495183	2	1	1766	1766
6	29944122	29944397	276	+	ENSE00003531461	ENST00000495183	3	1	1766	1766
6	29944500	29944616	117	+	ENSE00003997342	ENST00000495183	4	1	1766	1766
6	29945063	29945091	29	+	ENSE00001903453	ENST00000495183	5	1	1766	1766
6	29945234	29945281	48	+	ENSE00003997358	ENST00000495183	6	1	1766	1766
6	29945451	29945884	434	+	ENSE00003675687	ENST00000495183	7	1	1766	1766
6	29942554	29942626	73	+	ENSE00001853664	ENST00000461903	1	1	1352	1352
6	29942757	29943543	787	+	ENSE00001910070	ENST00000461903	2	1	1352	1352
6	29944122	29944397	276	+	ENSE00003531461	ENST00000461903	3	1	1352	1352
6	29944500	29944634	135	+	ENSE00003654588	ENST00000461903	4	1	1352	1352
6	29945059	29945091	33	+	ENSE00003997353	ENST00000461903	5	1	1352	1352
6	29945234	29945281	48	+	ENSE00003997358	ENST00000461903	6	1	1352	1352
6	29942554	29942626	73	+	ENSE00001853664	ENST00000479320	1	1	1334	1334
6	29942757	29943543	787	+	ENSE00001910070	ENST00000479320	2	1	1334	1334
6	29944122	29944397	276	+	ENSE00003531461	ENST00000479320	3	1	1334	1334
6	29944500	29944616	117	+	ENSE00003997342	ENST00000479320	4	1	1334	1334
6	29945059	29945091	33	+	ENSE00003997353	ENST00000479320	5	1	1334	1334
6	29945234	29945281	48	+	ENSE00003997358	ENST00000479320	6	1	1334	1334
6	29942554	29942626	73	+	ENSE00003810240	ENST00000638375	1	1	1394	1394
6	29942757	29943026	270	+	ENSE00003893776	ENST00000638375	2	1	1394	1394
6	29943268	29943543	276	+	ENSE00003895764	ENST00000638375	3	1	1394	1394
6	29944122	29944397	276	+	ENSE00003617747	ENST00000638375	4	1	1394	1394
6	29945059	29945091	33	+	ENSE00003618247	ENST00000638375	5	1	1394	1394
6	29945234	29945281	48	+	ENSE00003515521	ENST00000638375	6	1	1394	1394
6	29945451	29945868	418	+	ENSE00003997359	ENST00000638375	7	1	1394	1394
6	29942722	29943026	305	+	ENSE00003997351	ENST00000706900	1	1	1472	1472
6	29943268	29943543	276	+	ENSE00003895764	ENST00000706900	2	1	1472	1472
6	29944122	29944397	276	+	ENSE00003617747	ENST00000706900	3	1	1472	1472
6	29944500	29944616	117	+	ENSE00003518731	ENST00000706900	4	1	1472	1472
6	29945059	29945091	33	+	ENSE00003618247	ENST00000706900	5	1	1472	1472
6	29945234	29945281	48	+	ENSE00003515521	ENST00000706900	6	1	1472	1472
6	29945451	29945867	417	+	ENSE00003997346	ENST00000706900	7	1	1472	1472
